Category Code*,Product Code*,Name*,Description,Length(mm),Width(mm),Height(mm),Weight(grm),Color,Brand,Size,Mrp,Cost Price,Image Url,Is Serial,Tax Type Code,HSN Code,Tags
T-Shirt,WEFT-CREW-FULL-FORREST-GREY-XL,Weft Self Design Men's Round Neck Black T-Shirt (),,27,2,25,0.2,GREY,Weft,XL,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-PATTERN-LIGHTBLUE-M,Weft Graphic Print Men's Round Neck Grey T-Shirt (),,27,2,25,0.2,LIGHTBLUE,Weft,M,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-STRIPE-WHITE-M,WEFT-CREW-FULL-STRIPE-WHITE-M,,27,2,25,0.2,WHITE,Weft,M,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-ABSTRACT-MAROON-XL,Weft Self Design Men's Round Neck Grey T-Shirt (),,27,2,25,0.2,MAROON,Weft,XL,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-ABSTRACT-MAROON-S,Weft Checkered Men's Round Neck Maroon T-Shirt (),,27,2,25,0.2,MAROON,Weft,S,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-ABSTRACT-GREY-M,Weft Solid Men's Hooded Black T-Shirt (),,27,2,25,0.2,GREY,Weft,M,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-STRIPE-WHITE-S,Weft Self Design Men's Round Neck Grey T-Shirt (),,27,2,25,0.2,WHITE,Weft,S,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-PATTERN-LIGHTBLUE-S,Weft Checkered Men's Round Neck Maroon T-Shirt (),,27,2,25,0.2,LIGHTBLUE,Weft,S,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-ZAGZAG-GREY-S,Weft Broad Stripes Men's Round Neck Multicolor T-Shirt (),,27,2,25,0.2,GREY,Weft,S,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-ZAGZAG-GREY-M,Weft Graphic Print Men's Round Neck Black T-Shirt (),,27,2,25,0.2,GREY,Weft,M,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-PATTERN-LIGHTBLUE-L,Weft Solid Men's Hooded Black T-Shirt (),,27,2,25,0.2,PATTERN-LIGHTBLUE,Weft,L,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-ABSTRACT-GREY-S,Weft Graphic Print Men's Round Neck Black T-Shirt (),,27,2,25,0.2,ABSTRACT_GREY,Weft,L,999,399,,,5,61091000,
T-Shirt,WEFT-HOODED-FULL-BLACK-L,Weft Color block Men's V-neck Maroon T-Shirt (),,27,2,25,0.2,BLACK,Weft,L,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-ABSTRACT-GREY-XL,Weft Graphic Print Men's Round Neck Grey T-Shirt (),,27,2,25,0.2,ABSTRACT_GREY,Weft,XL,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-HALF-3COLOR-STYLE-M,Weft Striped Men's V-neck White T-Shirt (),,27,2,25,0.2,3COLOR_STYLE,Weft,M,999,399,,,5,61091000,
T-Shirt,WEFT-HOODED-FULL-BLACK-S,Weft Checkered Men's Round Neck Grey T-Shirt (),,27,2,25,0.2,FULL_BLACK,Weft,S,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-FORREST-BLACK-L,Weft Self Design Men's Round Neck Black T-Shirt (),,27,2,25,0.2,FORRESET_BLACK,Weft,L,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-FORREST-GREY-L,Weft Self Design Men's Round Neck Black T-Shirt (),,27,2,25,0.2,FORRESET_GREY,Weft,L,999,399,,,5,61091000,
T-Shirt,WEFT-CREW-FULL-STRIPE-PRINT-BLACK-L,Weft Striped Men's Round Neck White T-Shirt (),,27,2,25,0.2,STRIPE_PRINT_BLACK,Weft,L,999,399,,,5,61091000,
